Player,Primary_Pos,Club,League,Age,Market_Value_EUR,Predicted_Value,Gap,Value_Ratio
Lucas Perri,GK,Leeds United,eng Premier League,27.0,10000000,14878141.0,4878141.0,1.4878141
Robin Fellhauer,MF,Augsburg,de Bundesliga,27.0,3500000,8378074.0,4878074.0,2.3937354285714285
Dermane Karim,MF,Lorient,fr Ligue 1,21.0,2500000,7369647.0,4869647.0,2.9478588
Gon̤alo Guedes,MF,Real Sociedad,es La Liga,28.0,6000000,10864629.0,4864629.0,1.8107715
Mathys Tel,MF,Tottenham Hotspur,eng Premier League,20.0,22000000,26847680.0,4847680.0,1.2203490909090908
Martial Godo,MF,Strasbourg,fr Ligue 1,22.0,22000000,26840256.0,4840256.0,1.2200116363636364
Victor Parada,DF,Alav̩s,es La Liga,23.0,4000000,8840237.0,4840237.0,2.21005925
Adam Obert,DF,Cagliari,it Serie A,22.0,7000000,11830414.0,4830414.0,1.6900591428571428
Anton Kade,MF,Augsburg,de Bundesliga,21.0,10000000,14809202.0,4809202.0,1.4809202
Fisnik Asllani,FW,Hoffenheim,de Bundesliga,22.0,35000000,39782572.0,4782572.0,1.1366449142857142
Ra̼l,FW,Osasuna,es La Liga,24.0,400000,5176054.0,4776054.0,12.940135
Dean Huijsen,DF,Real Madrid,es La Liga,20.0,60000000,64760724.0,4760724.0,1.0793454
Yan Couto,MF,Dortmund,de Bundesliga,23.0,17000000,21759960.0,4759960.0,1.2799976470588235
Gerard Moreno,FW,Villarreal,es La Liga,33.0,2500000,7257972.5,4757972.5,2.903189
Kristian Thorstvedt,MF,Sassuolo,it Serie A,26.0,12000000,16754255.0,4754255.0,1.3961879166666666
Atakan Karazor,MF,Stuttgart,de Bundesliga,28.0,8000000,12750099.0,4750099.0,1.593762375
Serge Gnabry,MF,Bayern Munich,de Bundesliga,30.0,18000000,22697276.0,4697276.0,1.2609597777777777
Mathias Jensen,MF,Brentford,eng Premier League,29.0,10000000,14685662.0,4685662.0,1.4685662
Mateo Joseph,MF,Mallorca,es La Liga,21.0,3500000,8160778.5,4660778.5,2.331651
Arnaud Nordin,FW,Rennes,fr Ligue 1,27.0,4000000,8572845.0,4572845.0,2.14321125
Jonathan Gradit,DF,Lens,fr Ligue 1,32.0,2500000,6981402.0,4481402.0,2.7925608
Kristoffer Lund,DF,K̦ln,de Bundesliga,23.0,4000000,8477236.0,4477236.0,2.119309
Simon Ebonog,MF,Le Havre,fr Ligue 1,20.0,4500000,8975864.0,4475864.0,1.9946364444444444
